x,y
-21.361347,-31.34735
48.322002,-34.965015
51.319214,-34.791344
-23.04135,-29.952337
-21.074621,-30.901892
-20.541128,-31.446657
-21.359232,-30.931324
-20.239193,-28.274048
-21.409325,-27.922043
-51.437576,-4.1170526
-24.121864,-22.255503
-20.483795,-31.165205
-21.058392,-31.188986
-21.173977,-31.006115
-21.060286,-30.079409
-21.107805,-20.179241
24.48078,50.764782
24.627197,50.887707
-14.946362,-28.502401
-21.506197,-30.15673
-19.514463,-18.145702
-21.522062,-29.954473
-51.28858,-4.0262136
-24.050383,-22.227215
11.907883,39.266865
-16.590342,-31.353855
-22.808662,8.167847
-16.741833,-25.1824
47.58922,-33.978455
-20.678076,-29.367044
-16.979671,-31.413813
-21.093348,-30.415703
-18.926264,-28.187414
-19.150108,-29.848627
-13.739617,2.9014275
-19.850637,-29.399128
-12.658782,-27.621042
18.205795,47.641254
-15.820515,-31.77817
-13.138336,-28.947325
-19.962841,-28.587797
39.68331,-21.978075
-22.709154,-25.164124
-21.821613,20.681314
48.23448,-34.523827
-15.935415,-14.224224
-22.635698,18.67369
-22.423462,-29.877253
-18.052864,-27.16398
-11.6192,1.9144164
21.84509,48.51035
-14.909947,-30.166592
-22.849077,8.190865
-20.301216,-27.891989
-12.11021,5.0276594
-20.421946,-28.974495
-18.394098,-29.258825
-20.625797,-29.860325
-11.765005,-30.560902
-18.872587,-28.075846
-21.702644,-27.401535
-19.873968,-28.239294
23.85667,50.436104
-19.000277,-17.725996
-12.746372,-27.60007
41.913227,-26.16101
21.35603,50.497437
-12.734204,-30.931446
-16.97333,-21.152107
-16.462107,-27.835638
-20.7642,-10.123702
-16.779316,-29.014679
-21.079643,-29.744413
-20.850733,-29.64029
-18.277218,-26.169186
27.066837,2.786843
-18.405727,-19.180653
-15.963243,-27.051868
-16.172367,-31.370087
-19.279488,-26.397417
-21.241482,-28.775684
-15.163557,-25.879385
-21.642832,-29.225843
51.092777,-34.681534
-20.917702,-28.827682
-9.385133,-21.44207
-16.442732,-26.546232
-19.186283,-26.235184
24.953524,4.0252266
-18.460758,-17.54297
-12.181929,4.65912
51.226673,-34.754543
-17.717049,-18.789711
-50.190662,-4.1836505
12.270001,39.653908
-20.00904,-26.369783
-20.955017,-27.903532
49.597675,-34.440197
-11.846978,3.56997
-20.952845,-28.386717
-20.772999,-21.257452
-46.85291,-5.1628494
23.56161,50.362663
9.720962,36.770927
-11.487494,-28.425995
-10.900773,5.5739183
-11.511265,1.9514879
21.730642,48.169247
-14.535906,-29.47873
46.62551,-32.275497
39.495045,-21.681763
-19.808453,-24.846134
-12.514601,-27.574835
-15.829899,-31.29253
-18.499205,-26.33609
43.507996,-29.123465
-21.454535,-28.575142
-18.862709,-17.77831
-17.363134,-25.965109
-12.890237,-30.33835
16.268946,39.69666
-18.598564,-23.516775
-19.78361,-27.478598
-17.317116,-14.200596
13.037858,-13.364119
24.587866,50.849808
-20.31441,-26.961323
-14.961648,-23.877243
36.071526,-19.790485
23.423147,50.66238
51.198586,-34.729885
-18.050678,-25.187761
-21.122852,-9.597332
-13.429506,-30.425995
-50.629692,-4.001273
-3.7670891,-1.0646034
11.879841,38.894085
-48.91719,-4.2832747
-15.851668,-24.019466
9.613274,34.65624
-12.226963,-0.5294114
48.797348,-33.40297
-22.204586,-14.505383
50.364994,-34.252365
-24.066387,-22.023676
-20.28354,-28.782938
50.589626,-34.5505
-19.462685,-9.865915
-14.773345,-22.99631
-12.025434,-23.067673
-17.490828,-26.161367
-10.775585,1.9329644
-13.4643545,-31.04283
-17.312244,-17.002996
-17.398588,-27.955317
48.523876,-34.099987
-10.715355,-24.219437
-16.02391,-15.452477
-12.91027,-27.189606
-48.288616,-4.8438315
23.512611,50.268345
-17.707453,-24.49412
-19.223501,-27.646208
-50.454357,-3.888151
-17.944742,-18.623184
16.729607,40.17642
-9.840554,3.7776046
-20.387249,-25.172945
50.668343,-34.48369
-15.219651,-13.398801
23.803629,50.47388
43.848526,-28.178461
-20.791916,-27.136463
-11.035464,3.2583265
-18.414948,-27.646242
-19.510077,-28.47066
-14.423473,-31.472563
-13.551666,-30.746891
-51.19273,15.316356
-8.778476,-20.803175
-15.235543,-25.553062
-19.987896,-22.147968
27.493626,4.268233
-11.627552,-30.48631
-16.015661,-23.44145
22.560041,50.745373
-22.02422,15.172147
0.57715267,18.055273
-18.66048,-27.185162
-9.223967,-23.35186
-51.853592,13.860866
-15.739841,-19.486221
-21.673567,20.511005
-15.47938,-9.78378
-20.897102,-23.690372
-15.021013,-25.506344
-9.695811,-28.520155
-4.648657,-4.294558
-9.845911,-30.05743
35.08609,-20.718132
21.874765,49.9585
23.533335,50.529446
-18.406425,-22.7107
0.25722936,3.2354748
-16.558672,-14.126012
-17.730797,-29.88933
-18.897123,-24.11451
-13.474083,-30.668781
-18.20956,-26.566738
-13.787957,-29.025589
49.461075,-34.041412
-50.94697,-3.8189151
-15.4678,-30.300224
-50.880245,15.203805
-14.900706,-25.554663
-15.728399,-28.891779
23.812695,50.781635
16.37787,39.482758
-12.0186,-29.139196
39.435116,-22.912514
42.363636,-26.689993
44.496735,-29.194897
-8.994644,-22.391815
-14.303861,-23.50017
-13.13914,-22.227425
-50.10781,15.163078
22.524782,-5.9478893
-7.526514,-27.215961
-20.869873,-9.357306
-15.3598995,-28.135715
50.753334,-34.485767
-18.771795,-21.32571
9.831732,34.337036
-49.762062,-3.491658
48.425785,-33.293114
19.704144,47.30671
13.251811,40.976467
-19.915365,-27.718513
-17.963062,-26.95775
-17.724846,-26.722897
34.79311,-19.102037
-9.144919,1.6372051
-10.255926,-25.907574
-9.1932125,-24.849047
-18.296679,-28.783607
-13.355855,-26.037235
-11.054738,-28.09402
-11.089134,3.9259098
32.604187,-16.005047
-18.41612,-20.907637
-20.50277,-23.711493
23.87581,50.702003
-16.863146,-25.685177
-15.337771,-29.568872
-12.679245,-15.327755
-16.427753,-22.739052
-11.742305,-12.379582
48.353157,-32.79441
5.4176025,15.599158
45.220074,-31.716238
50.120625,-33.264835
21.930506,-6.9113936
-18.616066,-26.959084
37.101738,-23.683771
-1.7780865,17.688562
50.432053,-34.34822
-14.793159,-30.561
-19.451405,22.697784
-20.225258,-19.569614
-11.79484,-29.888453
-45.235638,-4.443109
-51.074913,14.963745
-16.436848,-26.317259
12.991134,-13.137048
-12.596048,-26.541742
50.025364,-34.29562
-21.029776,15.891428
-17.217829,-27.782974
-15.588965,-22.919847
-19.942513,-20.788609
-16.293741,-24.82804
-20.78635,-9.242085
48.286266,-33.644783
-14.200031,-27.270788
-38.782024,-2.7945967
-10.16064,-18.107967
-13.684905,-27.813753
9.805424,37.484554
-21.240921,12.654601
-13.284846,-22.805292
-2.3516932,-26.366034
50.861324,-34.593983
24.034227,1.2522976
22.389269,-4.832499
-48.675694,-4.276619
-11.423775,6.9149375
12.959597,-8.675602
27.609158,4.2167673
-12.989699,-20.179155
9.574777,34.942265
10.275514,33.262638
-12.996826,-29.41143
-15.073749,-25.507856
-20.67793,-23.476437
49.798008,-34.22983
9.738403,34.697315
-22.430656,18.07154
-17.577475,-24.968435
-1.6315286,-2.6318576
-13.795537,-24.456163
-18.003223,-24.260504
-12.950138,-23.88459
-51.083916,-3.6281126
-51.584118,13.994131
-14.806311,-22.615486
-50.451984,-3.3740942
11.889204,17.622997
-1.5948769,17.087547
-14.684361,-13.412291
-2.3136494,16.97565
-4.9790573,9.129645
-18.62986,-25.20733
-17.080873,-21.026491
-9.9550905,2.9219975
-13.406711,-30.267124
-11.075558,-18.63935
-14.702277,-3.6464407
-15.704217,-17.757978
-8.783239,-22.112354
-11.089254,4.3089814
32.22133,-15.802619
-10.0935,6.0934167
-15.292395,-14.498658
-19.252054,-26.8227
-16.04341,-26.293495
23.074442,50.40678
-2.328745,-10.419785
7.8990107,-17.312323
21.164043,-6.0659523
-0.35291666,16.841919
-5.912726,-0.8198013
49.18898,-33.78731
-20.451187,-21.051712
-17.283323,-18.002039
-19.796854,-24.638302
26.206894,2.4134285
-19.381697,-26.861984
22.349993,49.996376
0.43376485,15.924809
-19.437826,-24.563694
49.960564,-34.404575
-1.4825671,19.252466
-17.547777,-23.135525
-17.141853,-13.813056
23.593655,49.371845
-11.244561,2.8727942
-16.473602,-23.581223
47.91606,-32.74019
-17.950848,-9.619864
-12.944117,-25.317532
-20.611795,18.870825
21.814053,48.613937
-22.18586,-14.4885645
-20.829407,-9.384776
50.34749,-34.42339
-3.5576155,0.68616754
-1.3818083,-0.09851247
-51.12465,14.170183
18.615885,41.95495
26.139652,2.4916253
-22.336676,18.587149
-13.344457,-17.29766
23.467041,50.478596
-17.755804,-17.487875
-9.622002,4.3572125
49.417667,-33.77899
-0.92610216,16.511831
49.181957,-34.01148
0.76443493,-1.7319694
49.017303,-33.35567
-8.083875,1.1487039
42.36377,-26.804914
-12.275247,-21.340113
-16.066866,-16.977781
-4.8613734,-1.6607223
15.054027,40.247715
-14.468197,-15.840593
-15.20371,-13.9619255
20.072529,-6.2498603
-9.220413,-26.428131
17.21777,-9.976439
-22.184204,-14.504168
31.958143,-16.81758
-50.006653,-2.7730339
-13.384768,-23.331987
-22.058262,17.856749
8.255493,-17.090801
-21.46101,19.464596
17.377493,44.56455
-15.323651,-24.366749
36.968483,-24.530525
23.561756,50.907364
49.183083,-33.713585
-10.194288,1.8731405
-47.4786,-4.2672453
-10.406838,-27.510923
-11.138201,-21.246702
-14.709673,-12.798071
12.1036415,-6.2814097
-9.77972,0.024694484
10.84871,31.34413
-20.546215,12.639519
47.113483,-32.19546
-17.068352,-23.033962
-7.1148815,-1.6721002
-10.741067,3.166754
13.869815,41.993122
48.258865,-33.102787
23.873169,49.972862
-9.76212,1.0572549
-11.287246,-19.98535
3.9309058,-6.9389977
41.537918,-27.233816
-21.237589,14.358523
-10.086215,4.21187
-16.04917,-18.421814
-14.100157,-18.881462
48.684063,-33.35747
13.945232,-11.809345
-10.816234,-25.052042
-17.141523,12.192489
-6.47025,-21.514162
12.332625,-16.443024
20.550991,-2.5679884
-15.010572,-25.393295
21.178022,-10.359611
15.693724,-7.3974495
21.413881,-1.845457
13.010205,-12.877241
-11.680067,-16.831161
2.220333,-8.535724
-19.128542,23.04472
-7.4944634,1.2935252
-17.365614,-25.289318
-49.82479,15.351555
-49.68092,14.710344
-1.3831553,18.22093
15.840005,40.480297
-8.8716955,1.5108863
34.711796,-18.87623
-48.04198,10.714796
46.38295,-31.619389
-12.092351,-25.044498
-5.5324144,-25.207045
-16.480654,12.355166
46.236668,-31.200583
47.63171,-32.605335
-2.5339618,-18.354149
-20.728384,12.633954
-7.468402,-25.462069
46.23247,-31.269497
45.167015,-31.192213
-49.99266,14.420265
-12.611875,-23.575062
-17.327,-23.405272
20.337608,-8.006295
-18.938137,22.779003
-13.804508,-27.52023
-14.982638,12.184017
-50.320095,14.843803
-10.818223,4.7134275
-17.708532,-22.315487
-10.074521,-22.24637
-8.6210165,-28.071678
48.972374,-33.518448
-10.091494,-24.183254
-15.216899,-23.470306
1.154678,0.24149166
-14.983817,-21.792229
-15.390463,-17.891476
1.7726753,17.339317
-17.267513,-17.479105
23.532797,50.491814
-14.237855,16.66528
7.397635,-14.738282
48.63857,-33.267883
-0.706537,18.274588
34.687206,-20.377443
-1.2239941,17.857117
-0.4171182,-2.7559888
-7.7843976,-26.803692
49.20821,-33.711784
27.079285,3.0266693
-10.6468935,-30.13141
-13.241255,-27.566309
-51.38513,14.958557
2.7477663,-8.901244
-16.64426,9.869544
-16.748116,-22.18409
-13.081826,-7.5690207
-11.1319475,-18.212757
-8.506346,-28.844828
-11.536038,-12.526282
23.35121,50.453056
-6.530565,0.8076543
46.119823,-31.386312
-20.009493,15.126557
-13.043903,-26.799862
-13.058276,-19.41036
34.502182,-20.20544
20.629921,-4.2071295
-8.5509405,6.1014943
-9.2636,4.5959797
-5.7966437,-0.9761898
-8.648064,0.426489
-12.326297,-22.393496
-4.025779,-20.917747
-11.365544,-20.793133
-10.590329,-19.462427
-8.385767,-26.660995
-17.988169,20.253849
-3.083824,4.206236
45.13519,-26.533373
-49.974655,13.615708
-3.866871,2.6965249
9.418432,32.505787
-12.488926,-19.624176
-2.6617823,2.2394898
-5.876054,1.1584731
-16.797358,-16.765825
-20.635008,-9.535717
49.037426,-33.581066
-10.100599,-29.640059
27.020456,2.7331083
-20.325762,20.602314
-51.02566,14.492771
-0.49561676,17.35887
24.732645,4.179186
-47.389275,-3.3659344
-9.60764,-23.620934
32.942215,-16.250343
-6.342725,-26.806494
-1.7141304,17.462603
21.007174,49.292706
-2.0241537,16.236292
-11.316461,-29.010931
-50.126534,-3.2486775
-2.9066195,3.1647408
-4.9081225,-17.36092
-46.254066,13.465564
-4.419498,4.288347
-1.7319732,-10.186562
-11.850808,-29.766956
-14.125069,-22.936676
2.5587173,-10.300267
-14.422078,-20.508675
-2.6502538,-0.58582383
21.64275,50.303642
-6.833466,-20.256779
-13.95184,-14.689913
-51.49058,14.29231
36.658222,-21.857395
14.8369875,-5.379845
21.663137,47.20482
-50.615345,14.841434
32.449074,-16.977428
-13.929232,-25.313663
-12.976333,-21.234331
-9.444184,-26.364515
35.17791,-20.871632
-42.333714,-2.874298
-13.073929,-18.922016
20.761202,47.481533
46.311115,-31.422718
21.583992,48.534523
-3.9427562,-1.7543322
48.721752,-32.974094
-5.4207454,-26.502537
-3.3157573,4.565973
27.495508,2.9191313
-22.736605,8.139412
-21.014181,15.064861
-9.438359,-25.5095
-1.728057,3.2916028
-13.112383,-12.87202
-44.38398,12.880147
4.055255,-9.972537
-11.508287,-17.62509
47.106224,-32.211826
-10.822444,-23.003172
-11.991726,-21.734627
-8.99139,-10.303122
21.084463,-10.208881
-3.4397216,1.5747056
-8.778134,5.2701774
32.130074,-16.14336
22.569403,-5.961138
-49.385445,14.662337
-10.151924,-23.451124
-22.179522,18.704996
-1.4209063,-8.364252
-8.631519,-20.396347
-13.561058,-20.507742
-20.796684,-9.488921
-22.219038,18.576426
13.127127,-12.635514
21.998966,50.16907
45.181854,-26.564846
-21.28859,19.356094
-9.190157,-28.325178
-20.725431,13.352221
1.2742664,16.99557
-8.555685,-28.240723
21.385715,48.83248
22.232292,48.236263
-16.24106,-21.363157
8.041999,-16.987034
-2.6804013,-9.760593
22.674183,48.431267
-10.630634,5.8724194
-10.016829,-13.703336
20.683952,47.862648
-12.3312645,18.570911
-6.3876066,-28.642889
0.4206194,-5.4197073
5.7171736,-15.336024
-3.3250332,11.2143545
-4.7176247,0.34951124
-16.19735,-17.360765
-16.514214,-22.82044
-51.20374,14.206523
21.022993,49.49717
32.355164,-16.861927
-3.1688168,-3.4142435
20.665012,-5.6549816
8.610342,-16.713636
-2.7745702,4.4304843
-22.70391,8.125751
-0.29791483,-4.5104537
-8.177046,-21.20323
-0.70862347,11.323065
-11.433438,-2.7845545
-38.797695,-2.364323
-17.149996,8.4759865
-4.5863047,1.8039081
0.83993936,-6.5427656
20.82378,48.63027
22.322191,-6.3502326
49.200478,-33.768024
-9.370141,-10.952962
-11.674574,-22.446236
-12.031943,-18.94829
13.251041,17.906542
-4.6615806,8.986981
45.280064,-30.925747
-12.785651,-24.767044
44.636055,-29.944963
-1.4196911,17.017004
-21.638767,7.761061
7.9443727,-15.3906555
-1.457025,5.133149
-5.0371146,-3.8412073
12.991532,-11.685442
-9.257084,3.000104
-17.444042,16.24356
-7.557293,-21.772272
27.30676,5.337692
36.693283,-20.285652
19.617046,44.60124
-4.4935575,-25.827261
-11.836325,-23.58697
-15.927023,-20.39369
-20.301973,18.151949
23.502634,49.027363
-16.217127,15.953217
-22.544533,18.074804
-18.419184,15.64881
21.472301,-7.2214622
48.43224,-32.5519
21.274233,48.46944
-16.655424,16.283762
11.378633,36.45175
-18.429758,-23.295307
-15.341264,-21.772734
-9.65132,-13.60569
-12.606542,-25.9555
5.04488,13.336346
3.2096343,-1.3887337
-7.3590736,-23.466747
-1.4136746,4.665564
5.7333994,14.0254965
32.652584,-16.221775
-40.483376,-1.4257582
21.633614,50.12999
-12.335766,7.5748754
-3.5921445,10.762399
-14.285274,-31.030388
-14.97494,16.634562
-20.667294,15.332741
-6.3662558,-17.914446
-2.8939755,-10.562406
24.41023,4.6164136
-2.9836607,-1.9524305
-16.62637,-16.668457
20.818981,48.249622
-10.943714,-21.648851
