Gene,RSP_Area,RMSD,Deviation_Score
Ndufa13,1.5009559876386787,0.6912084559611137,2.446248811735884
Ndufa2,1.298468009802768,0.6428959514677413,2.5979201338228255
Ndufa3,1.317762163673399,0.647654787935815,2.587179328274664
Ndufa4,1.0583833287521536,0.580425599809243,2.8123942399258666
Ndufa5,1.5545629746475131,0.7034435041462711,2.374885426533269
Ndufa6,1.5730270366007864,0.7076086891668458,2.385703216088103
Ndufa7,1.4592913535708552,0.6815474045612152,2.44401788908788
Ndufab1,1.864803506524403,0.7704449311384406,2.19900973525682
Ndufb10,1.8738030918896893,0.772301786162794,2.198190486114668
Ndufb11,1.8805661297126173,0.7736942488541031,2.1982919979708044
Ndufb2,1.7898055811880966,0.7547932238958537,2.2454317917575444
Ndufb3,1.8948636103087357,0.7766297831857727,2.187925136547341
Ndufb5,1.7532307746384472,0.7470412895744674,2.27322115966273
Ndufb6,1.672248278229774,0.7295842371613844,2.30282872615848
Ndufb7,1.781595247843958,0.7530600112652329,2.2483413038693434
Ndufb8,1.4588091728942847,0.6814347964316538,2.478904888572132
Ndufb9,1.4743204567243313,0.6850480105644832,2.4515608282048187
Ndufc1,1.621782001697174,0.7184909494037818,2.3486179095321416
Ndufc2,1.7004258317444736,0.7357053438480389,2.288224703731443
Ndufs4,1.898263022699628,0.7773261134828915,2.18785598712212
Ndufs6,1.8384847934719755,0.7649888138794544,2.2163595337332382
Ndufs7,1.8770387161283306,0.7729682917774684,2.192129736388481
Ndufs8,1.917098124192639,0.781173019064866,2.1815631356697276
Ndufv2,1.799016876604838,0.7567330158218316,2.231985275242747
Ndufv3,1.6755611010366487,0.7303065543762856,2.319285461612198
Nedd8,1.2509098656211122,0.6310126598983867,2.617658552683878
Nfkbia,1.8187915556936498,0.760880629984024,2.2689204294305654
Nhp2,1.65889746028702,0.7266659905173357,2.284763861708809
Nkg7,1.8952572845665125,0.7767104547637856,2.1868989326064288
Nme1,1.2527152911567123,0.6314678627996735,2.553549085348001
Nnat,1.9022494832635948,0.7781418999840642,2.1636195540382883
Nol7,1.9208540039019462,0.7819378615706667,2.1779960755985686
Nono,1.9429526142404738,0.7864229304257244,2.1627284496207597
Nop10,1.5935259271122986,0.7122043642733702,2.3033538387473778
Nop56,1.9495296510921538,0.7877528555016914,2.156488802107333
Nop58,1.9197276887326356,0.7817085787583227,2.165909947067664
Npc2,1.4932078538563374,0.6894220927775327,2.4680503361407986
Npm1,0.5481510062657088,0.4177102876587649,3.3425721972122533
Npm3,1.9573200156659583,0.7893252253741081,2.155033455238013
Nrep,1.650850156777889,0.7249013212227322,2.2860414272328193
Nudc,1.9400853758526067,0.7858424493335036,2.163734272770819
Oaz1,0.5619155392032613,0.4229222993987117,3.750780392793468
Ociad1,1.8685385809977615,0.7712161195458892,2.201950607164891
Ostc,1.8610595585078293,0.7696711351284279,2.2055961806663555
P4hb,1.529565228856287,0.697764812747052,2.3983885401997744
Pa2g4,1.7631041502664688,0.7491418299637851,2.2421307078982955
Pabpc1,1.3423932534951564,0.6536796185700849,2.5293169773556206
Paics,1.880938628128443,0.7737708708902526,2.1843450272727076
Paip2,1.8652365611160762,0.7705343843558854,2.2079253443197673
Park7,1.508519100879873,0.6929477204718598,2.351729562977678
Pcbp2,1.7654113526313662,0.7496318341183638,2.2511926057647775
Pclaf,1.6343504143700907,0.7212696405523906,2.3417812618962888
